Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 12:39:54 UTC 2014,13.556,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:59 UTC 2014,13.556,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:04 UTC 2014,13.0392,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:09 UTC 2014,13.0392,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:14 UTC 2014,13.0392,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:20 UTC 2014,14.1315,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:25 UTC 2014,14.1315,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:30 UTC 2014,14.1315,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:35 UTC 2014,14.2718,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:40 UTC 2014,14.2718,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:45 UTC 2014,14.9701,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:50 UTC 2014,14.9701,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:55 UTC 2014,14.9701,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:00 UTC 2014,12.7789,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:05 UTC 2014,12.7789,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:10 UTC 2014,12.7789,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:16 UTC 2014,13.0653,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:21 UTC 2014,13.0653,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:26 UTC 2014,12.5379,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:31 UTC 2014,12.5379,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:36 UTC 2014,12.9293,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:41 UTC 2014,12.9293,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:46 UTC 2014,12.9293,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:51 UTC 2014,12.9293,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:56 UTC 2014,10.2,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:01 UTC 2014,10.2,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:06 UTC 2014,9.3845,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:11 UTC 2014,9.3845,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:17 UTC 2014,9.6096,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:22 UTC 2014,9.6096,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:27 UTC 2014,9.6096,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:32 UTC 2014,9.9198,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:37 UTC 2014,9.9198,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:42 UTC 2014,9.2462,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:47 UTC 2014,9.2462,0.12,1.0,CassandraNode_scaleIn,
