Time ,cpuUsage ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 13:56:06 UTC 2014,52.2224,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:14 UTC 2014,55.9289,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:23 UTC 2014,55.9289,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:31 UTC 2014,49.8542,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:39 UTC 2014,50.8231,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:47 UTC 2014,50.8231,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:56 UTC 2014,50.8231,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:05 UTC 2014,48.783,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:13 UTC 2014,54.134,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:22 UTC 2014,54.134,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:30 UTC 2014,46.9338,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:38 UTC 2014,53.5092,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:46 UTC 2014,53.5092,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:55 UTC 2014,57.012,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:58:03 UTC 2014,57.012,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:58:12 UTC 2014,53.0036,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:58:20 UTC 2014,53.0036,0.36,3,,
Thu Feb 20 13:58:25 UTC 2014,53.0036,0.36,3,,
Thu Feb 20 13:58:30 UTC 2014,53.0036,0.36,3,,
Thu Feb 20 13:58:36 UTC 2014,40.3149,0.36,3,,
Thu Feb 20 13:58:41 UTC 2014,40.3149,0.36,3,,
Thu Feb 20 13:58:47 UTC 2014,47.5765,0.36,3,,
Thu Feb 20 13:58:52 UTC 2014,47.5765,0.36,3,,
Thu Feb 20 13:58:58 UTC 2014,47.5765,0.36,3,,
Thu Feb 20 13:59:03 UTC 2014,47.8655,0.36,3,,
Thu Feb 20 13:59:09 UTC 2014,48.7712,0.36,3,,
Thu Feb 20 13:59:14 UTC 2014,48.7712,0.36,3,,
Thu Feb 20 13:59:20 UTC 2014,48.7712,0.36,3,,
Thu Feb 20 13:59:26 UTC 2014,48.7712,0.36,3,,
Thu Feb 20 13:59:32 UTC 2014,48.7712,0.36,3,,
Thu Feb 20 13:59:37 UTC 2014,48.7712,0.36,3,,
Thu Feb 20 13:59:43 UTC 2014,63.4572,0.36,3,,
Thu Feb 20 13:59:48 UTC 2014,63.4572,0.36,3,,
Thu Feb 20 13:59:54 UTC 2014,63.4572,0.36,3,,
Thu Feb 20 13:59:59 UTC 2014,63.6204,0.36,3,,
Thu Feb 20 14:00:04 UTC 2014,64.5999,0.36,3,,
